% Device	CC1138020						
% File name	CC1138020_20150801_170916						
% Cast time (UTC)	01/08/2015 17:09						
% Cast time (local)	01/08/2015 17:09						
% Sample type	Cast						
% Cast data	Processed						
% Location source	GPS						
% Default latitude	32						
% Default altitude	0						
% Start latitude	45.19989						
% Start longitude	-65.9896599						
% Start altitude	-7.460000038						
% Start GPS horizontal error(Meter)	1.379999995						
% Start GPS vertical error(Meter)	1.669999957						
% Start GPS number of satellites	10						
% End latitude	45.1998191						
% End longitude	-65.990245						
% End altitude	-4.960000038						
% End GPS horizontal error(Meter)	1.730000019						
% End GPS vertical error(Meter)	2.299999952						
% End GPS number of satellites	9						
% Cast duration (Seconds)	90.6						
% Samples per second	5						
% Electronics calibration date	0001-01-01						
% Conductivity calibration date	30/09/2011						
% Temperature calibration date	30/09/2011						
% Pressure calibration date	30/09/2011						
% 							
Pressure (Decibar)	Depth (Meter)	Temperature (Celsius)	Conductivity (MicroSiemens per Centimeter)	Specific conductance (MicroSiemens per Centimeter)	Salinity (Practical Salinity Scale)	Sound velocity (Meters per Second)	Density (Kilograms per Cubic Meter)
25.05	24.93659587	10.58454897	35577.00888	49989.40539	31.9111122	1488.586019	1024.556929
25.35	25.23518742	10.55681896	35578.90625	50031.05914	31.93714895	1488.52345	1024.583304
25.65	25.53377194	10.5442619	35592.15518	50067.37132	31.96124129	1488.512678	1024.60557
25.95	25.83235099	10.48661222	35547.40785	50085.65996	31.96700697	1488.318536	1024.62125
26.25	26.13092876	10.45748997	35505.50781	50067.71185	31.95056255	1488.199363	1024.614755
26.55	26.42950201	10.4065027	35496.5363	50127.14274	31.98624979	1488.064886	1024.652566
26.85	26.72806645	10.38430595	35500.24219	50163.82437	32.00936164	1488.018245	1024.675691
27.15	27.0266275	10.37521669	35489.36855	50161.3444	32.00634134	1487.986926	1024.676236
27.45	27.32518724	10.36071317	35483.19215	50173.18511	32.01279421	1487.947653	1024.685077
27.75	27.62374489	10.34816699	35475.30941	50179.84302	32.01581492	1487.911229	1024.690912
28.05	27.92230012	10.33351515	35471.96581	50195.91974	32.02524474	1487.874999	1024.702094
28.35	28.22085207	10.32792054	35479.29214	50214.23793	32.03739822	1487.874577	1024.713869
28.65	28.51940257	10.34464033	35494.06422	50211.38125	32.03734497	1487.939462	1024.712365
28.95	28.81795386	10.34045648	35483.45568	50202.31657	32.03026653	1487.920801	1024.708917
29.25	29.1165062	10.33625456	35472.82292	50193.24115	32.02317844	1487.902062	1024.705465
29.55	29.41505741	10.31054827	35457.97812	50208.76177	32.0308194	1487.823949	1024.717117
29.85	29.71360552	10.29909619	35456.62937	50223.14054	32.03943905	1487.79819	1024.727125
30.15	30.01215143	10.29808044	35460.88281	50230.6108	32.04447732	1487.805581	1024.732583
30.33330947	30.19457175	10.31080627	35476.71094	50234.92053	32.04905818	1487.859865	1024.734839
