% Device	CC1138020		
% File name	CC1138020_20150801_170916		
% Cast time (UTC)	01/08/2015 17:09		
% Cast time (local)	01/08/2015 17:09		
% Sample type	Cast		
% Cast data	Raw		
% Location source	GPS		
% Default latitude	32		
% Default altitude	0		
% Start latitude	45.19989		
% Start longitude	-65.9896599		
% Start altitude	-7.460000038		
% Start GPS horizontal error(Meter)	1.379999995		
% Start GPS vertical error(Meter)	1.669999957		
% Start GPS number of satellites	10		
% End latitude	45.1998191		
% End longitude	-65.990245		
% End altitude	-4.960000038		
% End GPS horizontal error(Meter)	1.730000019		
% End GPS vertical error(Meter)	2.299999952		
% End GPS number of satellites	9		
% Cast duration (Seconds)	90.6		
% Samples per second	5		
% Electronics calibration date	0001-01-01		
% Conductivity calibration date	30/09/2011		
% Temperature calibration date	30/09/2011		
% Pressure calibration date	30/09/2011		
% 			
Time (Seconds)	Pressure (Decibar)	Temperature (Celsius)	Conductivity (MicroSiemens per Centimeter)
68.2	5.06642475	11.00673962	35772.42578
68.4	4.962872549	11.0253458	35774.42188
68.6	4.810807891	11.03026295	35771.61719
68.8	4.566550582	11.02405548	35771.20313
69	4.276506416	11.0118494	35764.17969
69.2	3.998083724	11.01009274	35770.23438
69.4	3.782605445	11.00655079	35772.17578
69.6	3.607724129	10.9973135	35766.00781
69.8	3.453262886	11.00694084	35771.40625
70	3.345352394	11.00725269	35778.57813
70.2	3.241529351	11.00649738	35773.21094
70.4	3.058849839	11.01395226	35771.61719
70.6	2.804074456	11.01465607	35767.58594
70.8	2.479659867	11.01574516	35770.79688
71	2.185060953	11.03688526	35768.8125
71.2	1.988482591	11.0584383	35782.09375
71.4	1.84125783	11.07399178	35786.50391
71.6	1.734032076	11.08259296	35780.87109
71.8	1.667505328	11.0855484	35792.09766
72	1.574658122	11.09130669	35782.61719
72.2	1.386598933	11.10079193	35772.61328
72.4	1.133524905	11.11031246	35782.86719
72.6	0.839401874	11.10686207	35786.625
72.8	0.565935428	11.1027956	35780.41406
73	0.370452839	11.12471962	35767.11328
73.2	0.240241627	11.14494514	35785.99219
73.4	0.153285267	11.16378307	35806
73.6	0.086645031	11.17329407	35799.12891
73.8	0.038160847	11.22397614	15934.36035
74	0.004012296	11.29769802	3177.911133
74.2	-0.001475482	11.39592743	2460.589355
74.4	-0.001708514	11.48122025	2177.944824
74.6	-0.00050722	11.54601383	1945.617554
74.8	0.004275122	11.62235451	1696.030029
75	0.004759253	11.69314671	1556.952881
75.2	0.001422964	11.74626446	1675.348999
75.4	-4.07E-06	11.78521442	1549.528198
75.6	0.0009569	11.80300903	1476.401367
75.8	-0.00023076	11.8259964	1401.221436
76	-0.000940629	11.85202122	1596.569092
76.2	-0.000457451	11.87058067	2018.47998
76.4	-0.000211739	11.89772034	2227.470459
76.6	-0.000204445	11.9414463	2101.211426
76.8	-0.001393059	11.96457386	1898.667847
77	-0.000431137	11.994524	1696.89563
77.2	0.002201623	12.03117275	1558.740967
77.4	5.93E-05	12.05965519	1460.864746
77.6	6.57E-05	12.08813858	1384.755371
77.8	0.002699388	12.11769009	1428.793335
78	-0.000398482	12.13472462	1389.453369
78.2	-0.001348677	12.17464447	1396.197754
78.4	-0.001821081	12.21818924	1376.614502
78.6	-0.00133695	12.2787056	1312.942139
78.8	-0.003000494	12.34810352	1221.609497
79	-0.00060806	12.40243816	1191.755005
79.2	-0.001555394	12.44836426	1114.945679
79.4	-0.002504636	12.47916794	988.2088623
79.6	-0.002499249	12.51300049	903.8759766
79.8	-0.002014164	12.58945656	829.286377
80	-0.001530987	12.63951778	801.3617554
80.2	-0.002718647	12.68726444	828.508606
