     3918       -66.04986    45.22516000 2015-07-06 16:32  WCTS_Bay_of_Fundy_Saint_John_Harbour             
     3919       -66.04707    45.22613000 2015-07-06 16:37  WCTS_Bay_of_Fundy_Saint_John_Harbour             
     3920       -66.06749    45.26895000 2015-07-06 17:00  WCTS_Bay_of_Fundy_Saint_John_Harbour             
     3921       -66.04986    45.22516000 2015-07-08 13:53  WCTS_Bay_of_Fundy_Saint_John_Harbour             
     3922       -66.08213    45.22970000 2015-07-08 14:07  WCTS_Bay_of_Fundy_Saint_John_Harbour             
     3923        -66.0193    45.22376000 2015-07-08 14:27  WCTS_Bay_of_Fundy_Saint_John_Harbour             
     3924       -65.96753    45.18706000 2015-07-08 14:49  WCTS_Bay_of_Fundy_Saint_John_Harbour             
     3925       -66.02236    45.19538000 2015-07-08 15:10  WCTS_Bay_of_Fundy_Saint_John_Harbour             
     3926       -66.01424    45.12467000 2015-07-08 15:40  WCTS_Bay_of_Fundy_Saint_John_Channel             
     3927       -66.08025    45.13133000 2015-07-08 16:04  WCTS_Bay_of_Fundy_Saint_John_Channel             
     3928       -66.05484    45.25357000 2015-07-08 16:49  WCTS_Bay_of_Fundy_Saint_John_Harbour             
     3929       -66.03759    45.24862000 2015-07-09 12:54  WCTS_Bay_of_Fundy_Saint_John_Harbour             
     3930       -66.13204    45.14048000 2015-07-09 13:33  WCTS_Bay_of_Fundy_Saint_John_Channel             
     3931       -66.29959    45.11719000 2015-07-09 14:12  WCTS_Bay_of_Fundy_Saint_John_Channel             
     3932       -66.15133    45.06811000 2015-07-09 14:56  WCTS_Bay_of_Fundy_Saint_John_Channel             
     3933       -66.05283    45.04731000 2015-07-09 15:31  WCTS_Bay_of_Fundy_Saint_John_Channel             
     3934       -66.07773    45.26464000 2015-07-10 12:32  WCTS_Bay_of_Fundy_Saint_John_Harbour             
     3972       -66.07773    45.26464000 2015-09-09 13:13  WCTS_Saint_John_Harbour                          
     3971       -66.06749    45.26895000 2015-09-09 13:25  WCTS_Saint_John_Harbour                          
     3970       -66.05484    45.25357000 2015-09-09 13:39  WCTS_Saint_John_Harbour                          
     3973       -66.03759    45.24862000 2015-09-09 13:52  WCTS_Saint_John_Harbour                          
     3969       -66.01731    45.24414000 2015-09-09 14:02  WCTS_Saint_John_Harbour                          
     3968        -66.0193    45.22376000 2015-09-09 14:14  WCTS_Saint_John_Harbour                          
     3967       -66.04986    45.22516000 2015-09-09 15:42  WCTS_Saint_John_Harbour                          
