   200    9902 2011 07 01 10 59 00  47.6503   55.4238   1.84    119.6     .043 F    16.70 TR       5 Barrel                         
   200    9902 2011 07 01 11 31 00  47.6514   55.4239   1.94    124.0     .065 F    17.23 TR       5 Barrel                         
   200    9902 2011 07 01 11 55 00  47.6521   55.4239   1.99     71.4     .050 F    17.63 TR       5 Barrel                         
   200    9902 2011 07 01 12 35 00   47.653   55.4238   2.01    102.2     .043 S    18.30 TR       5 Barrel                         
   200    9902 2011 07 01 13 10 00  47.6538   55.4234   1.95    101.3     .048 E    18.88 TR       5 Barrel                         
   200    9902 2011 07 01 13 41 00  47.6545   55.4233   1.84     68.5     .037 E    19.40 TR       5 Barrel                         
   200    9902 2011 07 01 14 35 00  47.6553   55.4232   1.54     96.9     .030 E    20.30 TR       5 Barrel                         
   200    9902 2011 07 01 14 48 00  47.6558   55.4231   1.46     47.6     .061 E    20.52 TR       5 Barrel                         
   200    9902 2011 07 01 15 25 00  47.6563   55.4232   1.23     62.8     .028 E    21.13 TR       5 Barrel                         
   200    9902 2011 07 01 16 15 00  47.6569    55.423    .96     68.8     .023 E    21.97 TR       5 Barrel                         
   200    9902 2011 07 01 16 56 00  47.6576   55.4231    .79     78.2     .032 E    22.65 TR       5 Barrel                         
   200    9902 2011 07 01 17 37 00  47.6582   55.4232    .67     65.3     .027 E    23.33 TR       5 Barrel                         
   200    9902 2011 07 01 17 58 00  47.6585   55.4234    .63     39.9     .032 H    23.68 TR       5 Barrel                         
   200    9902 2011 07 01 18 32 00  47.6588   55.4238    .63     41.0     .020 H    24.25 TR       5 Barrel                         
   200    9902 2011 07 01 18 52 00  47.6591   55.4241    .65     40.9     .034 F    24.58 TR       5 Barrel                         
   200    9903 2011 06 30 18 28 00  47.6381     55.41    .77       .0     .000 F      .00 TR       5 Barrel                         
   200    9903 2011 06 30 18 45 00  47.6381   55.4099    .82      6.9     .007 F      .28 TR       5 Barrel                         
   200    9903 2011 06 30 19 13 00  47.6383   55.4096    .93     35.7     .021 F      .75 TR       5 Barrel                         
   200    9903 2011 06 30 20 00 00  47.6387   55.4085   1.16     93.6     .033 F     1.53 TR       5 Barrel                         
   200    9903 2011 06 30 20 23 00   47.639   55.4083   1.29     39.0     .028 F     1.92 TR       5 Barrel                         
   200    9903 2011 06 30 20 43 00  47.6398   55.4085   1.40     88.5     .074 F     2.25 TR       5 Barrel                         
   200    9903 2011 06 30 21 38 00  47.6406   55.4089   1.71     93.2     .028 F     3.17 TR       5 Barrel                         
   200    9903 2011 06 30 22 06 00  47.6418   55.4109   1.86    197.9     .118 F     3.63 TR       5 Barrel                         
   200    9903 2011 06 30 22 37 00  47.6425   55.4116   2.00     94.3     .051 F     4.15 TR       5 Barrel                         
   200    9903 2011 06 30 23 13 00  47.6442   55.4126   2.14    206.9     .096 F     4.75 TR       5 Barrel                         
   200    9903 2011 06 30 23 33 00  47.6449   55.4131   2.20     81.1     .068 F     5.08 TR       5 Barrel                         
   200    9903 2011 07 01 00 25 00  47.6459   55.4143   2.26    143.3     .046 H     5.95 TR       5 Barrel                         
   200    9903 2011 07 01 01 05 00   47.647   55.4152   2.18    139.1     .058 E     6.62 TR       5 Barrel                         
   200    9903 2011 07 01 01 34 00  47.6483   55.4159   2.06    154.4     .089 E     7.10 TR       5 Barrel                         
   200    9903 2011 07 01 02 00 00  47.6489   55.4161   1.91     73.8     .047 E     7.53 TR       5 Barrel                         
   200    9903 2011 07 01 02 55 00    47.65   55.4159   1.55    114.2     .035 E     8.45 TR       5 Barrel                         
   200    9903 2011 07 01 03 24 00  47.6502   55.4156   1.36     32.6     .019 E     8.93 TR       5 Barrel                         
   200    9903 2011 07 01 04 00 00    47.65   55.4148   1.13     65.1     .030 E     9.53 TR       5 Barrel                         
   200    9903 2011 07 01 04 23 00  47.6496   55.4141   1.01     70.8     .051 E     9.92 TR       5 Barrel                         
   200    9903 2011 07 01 04 57 00  47.6489   55.4131    .86    108.5     .053 E    10.48 TR       5 Barrel                         
   200    9903 2011 07 01 05 26 00  47.6485   55.4125    .77     65.5     .038 E    10.97 TR       5 Barrel                         
   200    9903 2011 07 01 06 18 00  47.6478   55.4117    .71     98.8     .032 S    11.83 TR       5 Barrel                         
   200    9903 2011 07 01 07 28 00  47.6468   55.4107    .85    129.0     .031 F    13.00 TR       5 Barrel                         
   200    9903 2011 07 01 07 54 00  47.6465   55.4107    .95     28.8     .018 F    13.43 TR       5 Barrel                         
   200    9903 2011 07 01 08 29 00  47.6466   55.4115   1.12     58.4     .028 F    14.02 TR       5 Barrel                         
   200    9903 2011 07 01 08 57 00   47.647   55.4123   1.26     74.5     .044 F    14.48 TR       5 Barrel                         
   200    9903 2011 07 01 09 35 00  47.6479   55.4134   1.45    133.0     .058 F    15.12 TR       5 Barrel                         
   200    9903 2011 07 01 10 11 00   47.649   55.4142   1.63    132.5     .061 F    15.72 TR       5 Barrel                         
   200    9903 2011 07 01 11 07 00  47.6507   55.4149   1.87    198.8     .059 F    16.65 TR       5 Barrel                         
   200    9903 2011 07 01 11 26 00  47.6516   55.4151   1.92    103.0     .090 F    16.97 TR       5 Barrel                         
   200    9903 2011 07 01 11 54 00  47.6526   55.4154   1.99    110.6     .066 F    17.43 TR       5 Barrel                         
   200    9903 2011 07 01 13 25 00  47.6554    55.416   1.91    315.4     .058 E    18.95 TR       5 Barrel                         
   200    9903 2011 07 01 13 55 00  47.6565   55.4166   1.77    124.2     .069 E    19.45 TR       5 Barrel                         
   200    9903 2011 07 01 14 17 00  47.6571   55.4168   1.65     71.0     .054 E    19.82 TR       5 Barrel                         
   200    9903 2011 07 01 14 50 00   47.658   55.4172   1.44    109.1     .055 E    20.37 TR       5 Barrel                         
   200    9903 2011 07 01 15 25 00  47.6592   55.4174   1.23    131.5     .063 E    20.95 TR       5 Barrel                         
   200    9903 2011 07 01 16 16 00  47.6605   55.4176    .95    141.0     .046 E    21.80 TR       5 Barrel                         
   200    9903 2011 07 01 16 41 00   47.661   55.4176    .84     61.1     .041 E    22.22 TR       5 Barrel                         
   200    9903 2011 07 01 17 31 00  47.6618    55.418    .68     90.7     .030 E    23.05 TR       5 Barrel                         
   200    9903 2011 07 01 17 55 00  47.6622   55.4181    .64     48.6     .034 H    23.45 TR       5 Barrel                         
   200    9903 2011 07 01 18 22 00  47.6626   55.4184    .62     46.1     .028 S    23.90 TR       5 Barrel                         
