   274    1002 20151015121615   45.00502   66.92489   1.67 F  Barrel                           
   274    1002 20151015122636   45.00458   66.92477   1.83 F  Barrel                           
   274    1002 20151015123612   45.00407   66.92487   2.00 F  Barrel                           
   274    1002 20151015124614   45.00311   66.92465   2.18 F  Barrel                           
   274    1002 20151015125615   45.00201   66.92392   2.37 F  Barrel                           
   274    1002 20151015130613   45.00098   66.92319   2.57 F  Barrel                           
   274    1002 20151015131610   44.99977   66.92230   2.77 F  Barrel                           
   274    1002 20151015132634   44.99824   66.92151   2.98 F  Barrel                           
   274    1002 20151015133608   44.99657   66.92064   3.19 F  Barrel                           
   274    1002 20151015134608   44.99470   66.92035   3.41 F  Barrel                           
   274    1002 20151015135606   44.99293   66.92032   3.63 F  Barrel                           
   274    1002 20151015140607   44.99007   66.92044   3.85 F  Barrel                           
   274    1002 20151015141608   44.98962   66.91861   4.07 F  Barrel                           
   274    1002 20151015142636   44.98950   66.91727   4.29 F  Barrel                           
   274    1002 20151015143558   44.98968   66.91647   4.49 F  Barrel                           
   274    1002 20151015144555   44.98956   66.91595   4.71 F  Barrel                           
   274    1002 20151015145551   44.98968   66.91544   4.92 F  Barrel                           
   274    1002 20151015150550   44.99009   66.91629   5.13 F  Barrel                           
   274    1002 20151015151548   44.99054   66.91687   5.33 F  Barrel                           
   274    1002 20151015152623   44.99193   66.91768   5.54 F  Barrel                           
   274    1002 20151015153548   44.99203   66.91669   5.71 F  Barrel                           
   274    1002 20151015154545   44.99199   66.91544   5.88 F  Barrel                           
   274    1002 20151015155545   44.99203   66.91501   6.03 F  Barrel                           
   274    1002 20151015160547   44.99213   66.91544   6.18 F  Barrel                           
   274    1002 20151015161550   44.99233   66.91611   6.30 F  Barrel                           
   274    1002 20151015162622   44.99168   66.91776   6.41 F  Barrel                           
   274    1002 20151015163550   44.99144   66.91736   6.48 F  Barrel                           
   274    1002 20151015164548   44.99142   66.91705   6.54 F  Barrel                           
   274    1003 20151015102634   45.00599   66.92874   1.20 E  Barrel                           
   274    1003 20151015103514   45.00595   66.92789   1.13 E  Barrel                           
   274    1003 20151015104515   45.00565   66.92694   1.07 E  Barrel                           
   274    1003 20151015105515   45.00540   66.92657   1.04 E  Barrel                           
   274    1003 20151015112806   45.00539   66.92657   1.12 F  Barrel                           
   274    1003 20151015113725   45.00571   66.92624   1.19 F  Barrel                           
   274    1003 20151015114725   45.00530   66.92529   1.28 F  Barrel                           
   274    1003 20151015115723   45.00502   66.92496   1.40 F  Barrel                           
   274    1003 20151015120800   45.00491   66.92502   1.55 F  Barrel                           
   274    1003 20151015121723   45.00466   66.92545   1.68 F  Barrel                           
   274    1003 20151015122758   45.00462   66.92551   1.85 F  Barrel                           
   274    1003 20151015123724   45.00408   66.92511   2.02 F  Barrel                           
   274    1003 20151015124727   45.00317   66.92477   2.20 F  Barrel                           
   274    1003 20151015125727   45.00219   66.92413   2.39 F  Barrel                           
   274    1003 20151015131113   45.00071   66.92282   2.67 F  Barrel                           
   274    1003 20151015131929   44.99958   66.92224   2.83 F  Barrel                           
   274    1003 20151015132759   44.99834   66.92160   3.00 F  Barrel                           
   274    1003 20151015133725   44.99658   66.92084   3.21 F  Barrel                           
   274    1003 20151015134728   44.99487   66.92017   3.43 F  Barrel                           
   274    1003 20151015135727   44.99297   66.91965   3.65 F  Barrel                           
   274    1003 20151015140729   44.99102   66.92104   3.87 F  Barrel                           
   274    1003 20151015141731   44.98962   66.91898   4.09 F  Barrel                           
   274    1003 20151015142806   44.98928   66.91721   4.34 F  Barrel                           
   274    1003 20151015143732   44.98904   66.91638   4.53 F  Barrel                           
   274    1003 20151015144735   44.98842   66.91629   4.75 F  Barrel                           
   274    1003 20151015145734   44.98756   66.91879   4.96 F  Barrel                           
   274    1003 20151015150736   44.98792   66.91956   5.17 F  Barrel                           
   274    1003 20151015151735   44.98737   66.92028   5.37 F  Barrel                           
   274    1003 20151015152807   44.98735   66.91961   5.58 F  Barrel                           
   274    1003 20151015153728   44.98775   66.91956   5.74 F  Barrel                           
   274    1003 20151015154724   44.98838   66.91913   5.91 F  Barrel                           
   274    1003 20151015155724   44.98842   66.91992   6.06 F  Barrel                           
   274    1003 20151015160720   44.98779   66.91943   6.20 F  Barrel                           
   274    1003 20151015161719   44.98772   66.91965   6.32 F  Barrel                           
   274    1003 20151015162754   44.98686   66.91943   6.42 F  Barrel                           
   274    1003 20151015163719   44.98664   66.91840   6.50 F  Barrel                           
   274    1004 20151015102634   45.00599   66.92874   1.20 E  Barrel                           
   274    1004 20151015103411   45.00599   66.92810   1.13 E  Barrel                           
   274    1004 20151015104409   45.00569   66.92700   1.08 E  Barrel                           
   274    1004 20151015105409   45.00545   66.92650   1.04 E  Barrel                           
   274    1005 20151015102634   45.00599   66.92874   1.20 E  Barrel                           
   274    1005 20151015103445   45.00597   66.92810   1.13 E  Barrel                           
   274    1005 20151015104438   45.00572   66.92715   1.08 E  Barrel                           
   274    1005 20151015105438   45.00542   66.92654   1.04 E  Barrel                           
   274    1005 20151015113606   45.00556   66.92654   1.18 F  Barrel                           
   274    1005 20151015114532   45.00543   66.92534   1.26 F  Barrel                           
   274    1005 20151015115723   45.00502   66.92496   1.40 F  Barrel                           
   274    1005 20151015120635   45.00470   66.92525   1.52 F  Barrel                           
   274    1005 20151015121628   45.00457   66.92545   1.67 F  Barrel                           
   274    1005 20151015122628   45.00457   66.92545   1.83 F  Barrel                           
