DEPLOY,SDEPTH,TEMP,SAL,DENSITY,OXYMLL,OXYMGL,OXYPSAT,OXYSATMGL,TURBFTU,WETLABS,PAR,TRANSX
4261,42,4.5005,32.4049,25.672,6.8086,9.73017,93.52055,10.42638,-99,0.3655,0.0201,0
4261,43,4.503,32.4067,25.6732,6.81309,9.73659,93.58527,10.42605,-99,0.3426,0.0192,0
4261,44,4.5103,32.4094,25.6746,6.81082,9.73334,93.55625,10.42581,-99,0.3371,0.0188,0
4261,45,4.5163,32.4135,25.6772,6.80809,9.72944,93.51651,10.42606,-99,0.3511,0.0184,0
4261,46,4.5196,32.4154,25.6784,6.80952,9.73149,93.5375,10.42591,-99,0.3487,0.0182,0
4261,47,4.5204,32.4154,25.6783,6.80744,9.72851,93.50956,10.42583,-99,0.3366,0.0181,0
4261,48,4.5204,32.4161,25.6789,6.80468,9.72457,93.48459,10.42437,-99,0.3448,0.018,0
4261,49,4.5194,32.4151,25.6782,6.79621,9.71246,93.37968,10.42308,-99,0.3418,0.0179,0
4261,50,4.5212,32.4167,25.6793,6.80412,9.72376,93.49649,10.42217,-99,0.348,0.0178,0
4261,51,4.5234,32.4172,25.6794,6.80069,9.71887,93.46169,10.42078,-99,0.3745,0.0176,0
4261,52,4.5285,32.4223,25.683,6.78944,9.70279,93.35344,10.41556,-99,0.3751,0.0174,0
4261,53,4.5306,32.4233,25.6836,6.79865,9.71594,93.4947,10.4139,-99,0.3667,0.0175,0
4261,54,4.536,32.4273,25.6862,6.79346,9.70854,93.43497,10.41261,-99,0.3622,0.0177,0
4261,55,4.5506,32.4367,25.6921,6.7971,9.71373,93.48733,10.41235,-99,0.3579,0.0177,0
4261,56,4.5604,32.4434,25.6964,6.79259,9.70729,93.42988,10.41184,-99,0.3766,0.0173,0
4261,57,4.563,32.4484,25.7001,6.79931,9.71689,93.52431,10.41161,-99,0.3719,0.0174,0
4261,58,4.5634,32.4529,25.7036,6.79532,9.71119,93.47213,10.41131,-99,0.3735,0.0175,0
4261,59,4.5644,32.4542,25.7046,6.79538,9.71128,93.4732,10.41129,-99,0.3692,0.0176,0
4261,60,4.5655,32.455,25.7051,6.78588,9.69769,93.34178,10.41136,-99,0.3398,0.0174,0
4261,61,4.5666,32.4555,25.7055,6.78669,9.69886,93.35465,10.41117,-99,0.3438,0.0173,0
4261,62,4.5667,32.4556,25.7055,6.79024,9.70394,93.40507,10.41101,-99,0.3424,0.0172,0
4261,63,4.5669,32.4551,25.7051,6.79533,9.7112,93.48953,10.40936,-99,0.3253,0.0172,0
4261,64,4.5671,32.4556,25.7054,6.79667,9.71312,93.51457,10.40862,-99,0.3341,0.0173,0
4261,65,4.5676,32.4559,25.7056,6.79008,9.70371,93.42605,10.40839,-99,0.3332,0.0173,0
4261,66,4.5702,32.4571,25.7063,6.78862,9.70161,93.40963,10.40796,-99,0.3265,0.0173,0
4261,67,4.5761,32.4575,25.7061,6.78584,9.69764,93.37974,10.40702,-99,0.3285,0.0172,0
4261,68,4.5777,32.4582,25.7064,6.78774,9.70036,93.41902,10.40555,-99,0.3357,0.0173,0
4261,69,4.5784,32.4586,25.7067,6.7834,9.69417,93.38757,10.40238,-99,0.348,0.0172,0
4261,70,4.5804,32.4597,25.7073,6.78575,9.69752,93.45778,10.39812,-99,0.3447,0.0174,0
4261,71,4.5833,32.4627,25.7094,6.78474,9.69607,93.45621,10.39673,-99,0.3279,0.0174,0
4261,72,4.5916,32.4701,25.7144,6.7767,9.68458,93.37376,10.39355,-99,0.3437,0.0173,0
4261,73,4.6088,32.4819,25.7221,6.77781,9.68617,93.40247,10.39204,-99,0.3353,0.0172,0
4261,74,4.6151,32.4859,25.7245,6.77711,9.68517,93.40682,10.39047,-99,0.3839,0.0171,0
4261,75,4.6247,32.4937,25.7297,6.7803,9.68973,93.46355,10.38904,-99,0.3409,0.0171,0
4261,76,4.6304,32.4973,25.732,6.77175,9.6775,93.35414,10.38809,0.065,0.3592,0.0171,0
4261,77,4.6345,32.5009,25.7344,6.76739,9.67128,93.32489,10.38463,0.061,0.3562,0.0171,0
4261,78,4.6397,32.5045,25.7367,6.76976,9.67466,93.41041,10.37869,0.064,0.3431,0.0172,0
4261,79,4.6434,32.5077,25.7389,6.77271,9.67888,93.49536,10.37374,0.067,0.3495,0.0173,0
4261,80,4.6489,32.5125,25.7422,6.76704,9.67079,93.44637,10.37047,0.061,0.3441,0.0173,0
4261,81,4.6694,32.528,25.7522,6.75205,9.64935,93.34253,10.35892,0.067,0.3463,0.0173,0
4261,82,4.6883,32.546,25.7645,6.75454,9.65291,93.46599,10.34899,0.071,0.3218,0.0174,0
4261,83,4.6993,32.5553,25.7707,6.74564,9.64019,93.36826,10.34618,0.089,0.3314,0.0173,0
4261,84,4.7298,32.5968,25.8004,6.7425,9.63571,93.37144,10.34101,0.083,0.3327,0.0174,0
4261,85,4.7593,32.631100000000004,25.8244,6.74128,9.63397,93.39596,10.33639,0.074,0.3328,0.0174,0
4261,86,4.7677,32.649,25.8377,6.74831,9.64401,93.54043,10.33116,0.078,0.3297,0.0174,0
4261,87,4.7782,32.6805,25.8616,6.7489,9.64485,93.59055,10.32649,0.082,0.3378,0.0174,0
4261,88,4.7972,32.7049,25.8789,6.74349,9.63712,93.54666,10.32304,0.117,0.3338,0.0174,0
4261,89,4.8082,32.7245,25.8932,6.74232,9.63545,93.51852,10.32437,0.128,0.3403,0.0175,0
4261,90,4.8222,32.7439,25.9071,6.72808,9.6151,93.34681,10.3215,0.145,0.3412,0.0177,0
4261,91,4.833,32.7537,25.9137,6.73617,9.62666,93.46858,10.32043,0.153,0.3482,0.0177,0
4261,92,4.8295,32.7536,25.9141,6.73342,9.62272,93.4444,10.31887,0.158,0.3549,0.0176,0
4261,93,4.8382,32.7636,25.921,6.73665,9.62734,93.48537,10.31931,0.163,0.3515,0.0177,0
4261,94,4.8414,32.767,25.9234,6.72852,9.61573,93.37121,10.31946,0.184,0.342,0.0178,0
4261,95,4.8451,32.7705,25.9258,6.7345,9.62427,93.43913,10.32112,0.187,0.3463,0.0177,0
4261,94,4.8438,32.7684,25.9242,6.74538,9.63983,93.52478,10.32839,0.183,0.3057,0.0178,0
4261,93,4.8427,32.7673,25.9234,6.73958,9.63153,93.43924,10.32895,0.183,0.297,0.0178,0
4261,92,4.8391,32.7648,25.9218,6.74567,9.64024,93.46161,10.33581,0.192,0.3127,0.0178,0
4261,91,4.8374,32.7627,25.9204,6.74913,9.64519,93.42532,10.34524,0.165,0.3094,0.0178,0
4261,90,4.8332,32.7523,25.9126,6.74767,9.64309,93.31238,10.35553,0.157,0.3037,0.0178,0
4261,89,4.8243,32.7299,25.8958,6.74321,9.63673,93.20315,10.36089,0.153,0.303,0.0179,0
4261,88,4.8192,32.7332,25.8989,6.74443,9.63846,93.17643,10.36572,0.123,0.3113,0.0178,0
4261,87,4.8157,32.7169,25.8864,6.75554,9.65435,93.25604,10.37403,0.096,0.3268,0.0178,0
4261,86,4.7953,32.6694,25.851,6.75478,9.65326,93.1973,10.37945,0.073,0.3096,0.0179,0
4261,85,4.7629,32.6585,25.8458,6.75285,9.6505,93.1504,10.38173,0.087,0.3088,0.0179,0
4261,84,4.7448,32.6057,25.8059,6.75581,9.65472,93.17391,10.38366,0.082,0.3168,0.0179,0
4261,83,4.7277,32.5956,25.7997,6.76364,9.66591,93.24637,10.38765,0.069,0.3309,0.0179,0
4261,82,4.714,32.5544,25.7684,6.76294,9.66491,93.22713,10.38872,0.074,0.3382,0.0179,0
4261,81,4.6869,32.5462,25.7648,6.75996,9.66066,93.1789,10.38952,0.071,0.3433,0.0178,0
4261,80,4.6708,32.538,25.76,6.76201,9.66358,93.20144,10.39016,0.066,0.3378,0.0179,0
4261,79,4.6611,32.5275,25.7527,6.77188,9.67769,93.323,10.39179,0.065,0.3218,0.0179,0
4261,78,4.6538,32.5157,25.7441,6.77155,9.67722,93.31134,10.3926,0.061,0.3216,0.0179,0
4261,77,4.6428,32.5067,25.7381,6.76973,9.67463,93.27709,10.39362,0.067,0.3379,0.0179,0
4261,76,4.6421,32.5023,25.7347,6.77657,9.68439,93.33459,10.39776,0.065,0.3434,0.0179,0
4261,75,4.6389,32.5015,25.7344,6.77627,9.68397,93.2981,10.40141,0.069,0.345,0.0179,0
4261,74,4.6368,32.4986,25.7323,6.77239,9.67842,93.2289,10.40317,0.071,0.3576,0.0178,0
4261,73,4.6325,32.4961,25.7308,6.77509,9.68227,93.24177,10.40591,0.066,0.3223,0.0179,0
4261,72,4.6289,32.4964,25.7314,6.77794,9.68636,93.25215,10.40917,0.056,0.334,0.0179,0
4261,71,4.6272,32.4877,25.7247,6.78622,9.69819,93.35469,10.41046,0.061,0.3283,0.0179,0
4261,70,4.6119,32.4839,25.7233,6.78666,9.69882,93.36253,10.41025,-99,0.3464,0.0179,0
4261,69,4.5993,32.4785,25.7202,6.78682,9.69905,93.36557,10.41016,-99,0.3357,0.018,0
4261,68,4.5971,32.4684,25.7126,6.79541,9.71132,93.48223,10.41032,-99,0.3489,0.018,0
4261,67,4.5864,32.4638,25.7099,6.79273,9.70749,93.43804,10.41115,-99,0.3472,0.018,0
4261,66,4.574,32.4611,25.7092,6.79337,9.70841,93.43581,10.4124,-99,0.3452,0.018,0
